Header,seconds,nanoseconds,Orientation.x,Orientation.y,Orientation.z,Orientation.w,Linear.x,Linear.y,Linear.z,Angular.x,Angular.y,Angular.z,Magnetic.x,Magnetic.y,Magnetic.z,Roll,Pitch,Yaw
728,58226,113281226,0.00698041508964111,-0.00851269058503535,0.997935487710707,0.0632737723845532,-0.126,0.089,-9.502,-0.000595,-0.004782,0.003462,-0.0000161,-0.00000641,0.00002067,-0.923,-0.86,172.751
729,58226,138303226,0.0070066154787091,-0.00851428278292519,0.997935830093046,0.063265261753419,-0.171,0.131,-9.572,0.000603,-0.000581,0.001737,-0.00001605,-0.00000611,0.00002061,-0.923,-0.863,172.752
730,58226,163238226,0.0069972803127044,-0.00852250144201159,0.997935273619035,0.0632739654541953,-0.157,0.171,-9.522,-0.000937,0.002739,0.002514,-0.000016,-0.00000646,0.00002129,-0.924,-0.862,172.751
731,58226,188259226,0.00702296006211568,-0.00852452251112126,0.997931749003996,0.0633264153236865,-0.184,0.146,-9.572,-0.000269,-0.00184,0.002262,-0.0000161,-0.00000656,0.00002135,-0.924,-0.865,172.745
732,58226,213246226,0.00702233296786611,-0.00853329238990237,0.997931121909747,0.0633351852024677,-0.159,0.112,-9.527,-0.002193,-0.001451,0.001071,-0.000016,-0.00000606,0.00002061,-0.925,-0.865,172.744
733,58226,238126226,0.0070222585005746,-0.00853335367099317,0.997930569167991,0.0633438937919487,-0.151,0.159,-9.562,-0.000582,0.003503,0.000612,-0.00001609,-0.00000606,0.00002134,-0.925,-0.865,172.743
734,58226,263142226,0.0070222585005746,-0.00853335367099317,0.997930569167991,0.0633438937919487,-0.167,0.173,-9.524,-0.001143,-0.006089,0.001763,-0.00001605,-0.00000646,0.00002135,-0.925,-0.865,172.743
735,58226,288125226,0.00700413934297558,-0.00854108106740356,0.997929529203074,0.0633612398142132,-0.146,0.152,-9.52,0.000133,0.002511,0.000462,-0.0000161,-0.00000636,0.00002089,-0.926,-0.863,172.741
736,58226,313132226,0.00700476673256508,-0.0085323113612882,0.997930156592664,0.0633524701080982,-0.143,0.137,-9.553,-0.001145,0.00039,0.00095,-0.00001609,-0.00000555,0.00002128,-0.925,-0.863,172.742
737,58226,338167226,0.00700443747868097,-0.00854083657161448,0.997931740319606,0.0633264054636435,-0.174,0.123,-9.587,-0.000525,-0.006176,0.001048,-0.0000161,-0.00000626,0.00002106,-0.926,-0.863,172.745
